Number,Party,Leader,Seats,Year
1,VVD,Mark Rutte,41,2017
2,Partij van de Arbeid (P.v.d.A.),Lodewijk Asscher,38,2017
3,PVV (Partij voor de Vrijheid),Geert Wilders,15,2017
4,SP (Socialistische Partij),Emile Roemer,15,2017
5,CDA,Sybrand van Haersma Buma,13,2017
6,Democraten 66 (D66),Alexander Pechtold,12,2017
7,ChristenUnie,Gert-Jan Segers,5,2017
8,GROENLINKS,Jesse Klaver,4,2017
9,Staatkundig Gereformeerde Partij (SGP),Kees van der Staaij,3,2017
10,Partij voor de Dieren,Marianne Thieme,2,2017
11,50PLUS,Henk Krol,2,2017
12,OndernemersPartij,Hero Brinkman,0,2017
13,VNL (VoorNederland),Jan Roos,0,2017
14,DENK,Tunahan Kuzu,0,2017
15,NIEUWE WEGEN,Jacques Monasch,0,2017
16,Forum voor Democratie,Thierry Baudet,0,2017
17,De Burger Beweging,Ad Vlems,0,2017
18,Vrijzinnige Partij,Norbert Klein,0,2017
19,GeenPeil,Jan Dijkgraaf,0,2017
20,Piratenpartij,Ancilla van de Leest,0,2017
21,Artikel 1,Sylvana Simons,0,2017
22,Niet Stemmers,Peter Plasman,0,2017
23,Libertarische Partij (LP),Robert Valentine,0,2017
24,Lokaal in de Kamer,Jan Heijman,0,2017
25,JEZUS LEEFT,Florens van der Spek,0,2017
26,StemNL,Mario van den Eijnde,0,2017
27,MenS en Spirit / Basisinkomen Partij / V-R,Tara-Joëlle Fonk,0,2017
28,Vrije Democratische Partij (VDP),Burhan Gökalp,0,2017
