Number,Party,Leader,Year
1,VVD,Dilan Yeşilgöz-Zegerius,2023
2,D66,Rob Jetten,2023
3,GROENLINKS / Partij van de Arbeid (PvdA),Frans Timmermans,2023
4,PVV (Partij voor de Vrijheid),Geert Wilders,2023
5,CDA,Henri Bontenbal,2023
6,SP (Socialistische Partij),Lilian Marijnissen,2023
7,Forum voor Democratie,Thierry Baudet,2023
8,Partij voor de Dieren,Esther Ouwehand,2023
9,ChristenUnie,Mirjam Bikker,2023
10,Volt,Laurens Dassen,2023
11,JA21,Joost Eerdmans,2023
12,Staatkundig Gereformeerde Partij (SGP),Chris Stoffer,2023
13,DENK,Stephan van Baarle,2023
14,50PLUS,Gerard van Hooft,2023
15,BBB,Caroline van der Plas,2023
16,BIJ1,Edson Olf,2023
17,Piratenpartij - De Groenen,Mark van Treuren,2023
18,BVNL / Groep Van Haga,Wybren van Haga,2023
19,Nieuw Sociaal Contract,Pieter Omtzigt,2023
20,Splinter,Femke Merel van Kooten-Arissen,2023
21,LP (Libertaire Partij),Tom van Lamoen,2023
22,LEF - Voor de Nieuwe Generatie,Daniël van Duijn,2023
23,Samen voor Nederland,Michael Reijinga,2023
24,Nederland met een PLAN,Kok Chan,2023
25,PartijvdSport,Anne Marie van Duivenboden,2023
26,Politieke Partij voor Basisinkomen,Sepp Hannen,2023
